Ä«Å×°í¸®,À½½Ä_¸µÅ©,À½½Ä_ÀÌ¸§,ÀÌ¹ÌÁö_¸µÅ©,ÇÊ¼öÀç·á,Ä®·Î¸®(kcal),Åº¼öÈ­¹°(g),´Ü¹éÁú(g),ÃÑ Áö¹æ(g)
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1288,¼øµÎºÎ Ä«·¹,https://ottogi.okitchen.co.kr/pds/upfile/2022-02-21_397338068[23].jpg,"['¿À¶Ñ±âÄ«·¹ ¾à°£ ¸Å¿î¸À70g, ¼øµÎºÎ200g, °¨ÀÚ1/2(90g), ´ç±Ù (90g), ¾çÆÄ1/4(50g), ´ÙÁø µÅÁö°í±â150g, ¾ÖÈ£¹Ú1/6(50g), ºê·ÎÄİ¸®4Á¶°¢(40g), ¿ìÀ¯400ml, ¿À¶Ñ±â ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯2T']",963.48,20.63,58.31,68.25
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1270,ºÏ¾î´©·îÁöÁ×,https://ottogi.okitchen.co.kr/pds/upfile/2022-01-11_619427589[13].jpg,"['ºÏ¾îÆ÷ 1°³(60g), ¿À¶Ñ±â ¿¾³¯ ±¸¼öÇÑ ´©·îÁö 1ºÀ (60g), ´ÙÁø¸¶´Ã 1/2t, ¿À¶Ñ±â ¸êÄ¡Àå±¹ 1T, ¿À¶Ñ±â ¼ø¹é µé±â¸§ 1T, ¿À¶Ñ±â ¹ÌÇâ 1T, ¼Ò±İ ¾à°£, ¿À¶Ñ±â ¹éÈÄÃß ¾à°£, ÂÊÆÄ ¨öÁÙ±â, ¹° 500ml']",273.2,26.6,20.9,8.1
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1256,´ß°í±âÀ¯ÀÚÁ¶¸²µ¤¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-17_589044872[1].jpg,"['´ß´Ù¸®»ì 3µ¢¾î¸®(250g), ¼Ò±İ 1/2t, ÈÄÃß 1/3t, ¿À¶Ñ±â ¹ÌÇâ 1T, ¸ÀÀÖ´Â ¿À¶Ñ±â¹ä 2°³(420g), ¾çÆÄ ¨ö°³, ½ÇÆÄ 1ÁÙ±â, °è¶õ 2°³, ¿À¶Ñ±â °í¼ÒÇÑÂü±â¸§ 1T', '¾ÆÀÓ½ºÆ½ À¯ÀÚÂ÷ 1T, ´ÙÁø ¸¶´Ã 1t, ÀÌ±İ±â ÆÒ´õ ¾ç°£Àå 5T, ¿À¶Ñ±â ¹ÌÇâ 5T, ¹° 200ml']",436.6,74.5,16.1,6.5
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1247,¾ç¹èÃß µÈÀå ½Ó¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-12_593749891[3].jpg,"['¿À¹Â °ï¶óÀÌ½º ¹ö¼¸µÈÀå 130g1°³, ¾ç¹èÃß5Àå']",209,39,5.9,4.4
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1238,ÀÎµµ½Ä ¹öÅÍÄ¡Å²Ä«·¹,https://ottogi.okitchen.co.kr/pds/upfile/2021-10-20_995940866[13].jpg,"['¿À¸®Áö³ÎÄ«·¹ÆÄ¿ì´õ10g, ¹°100g, ¿À¶Ñ±âÅä¸¶Åä½ºÆÄ°ÔÆ¼¼Ò½º200g, ´ß´Ù¸®»ì200g, ¿À¸Ş°¡3 ¹öÅÍ20g, ¹æ¿ï Åä¸¶Åä 40g, ¿ìÀ¯ 60g, ¾çÆÄ 100g, ½Ä¿ëÀ¯ 10g, Å©·¯½¬µåÆäÆÛ2g, ¼Ò±İ¾à°£']",336.3,17.7,22,19
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1232,Ä«·¹ Åä¸¶Åä¼Ü¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[29].jpg,"['ºÒ¸° ½Ò2ÄÅ, ¹°2ÄÅ, ¿À¶Ñ±âÄ«·¹ ¾à°£ ¸Å¿î¸À2T, Åä¸¶Åä1°³, ´ç±Ù40g, ºê·ÎÄİ¸®40g, Ç¥°í¹ö¼¸2°³, ¼Ò±İ¾à°£, ¼³ÅÁ¾à°£, ÇÁ·¹½ºÄÚ ¿Ã¸®ºêÀ¯¾à°£']",379.4,82.3,8,1.6
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1223,¹İ¹İ Ä«·¹,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[11].jpg,"['¿À¶Ñ±â 3ÀÏ¼÷¼ºÄ«·¹3Á¶°¢, ¾çÆÄ2/3°³, ¼è°í±â100g, »ıÅ©¸² 1/2ÄÅ, Åä¸¶ÅäÇ»·¹1ÄÅ, ¿À¶Ñ±â¹ä210g2°³, ¹æ¿ïÅä¸¶Åä3°³', '´ëÆÄ5cm, ´ç±Ù¨÷°³, ²®ÁúÄá4°³, ÆäÆÛ·ĞÄ¡³ë4°³, ÂÊÆÄ ¶Ç´Â ÆÄ½½¸®¾à°£']",790.2,107.5,23.5,29.9
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1432,Ã¢³ç°¥¸¯ »ïÄ¡Á¶¸²,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[11].jpg,"['¼ÕÁúµÈ »ïÄ¡ 1¸¶¸®(¼Ò), ¹« 4cm ÇÑ Åä¸·, Ã¢³ç°¥¸¯¼ÒÀÌ¼Ò½º 25g, ´ëÆÄ 1/3´ë, ¾çÆÄ 1/3°³, ±½Àº °íÃå°¡·ç ¾à°£, ¿À¶Ñ±â ¿¬»ı°­ 5g, Ã»¾ç°íÃß 2°³, ¼øÈÄÃß, ¾à°£ ¹° 300g']",338.58,17.29,49.42,7.01
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1430,Ã¢³ç°¥¸¯ ¼ÒºÒ°í±â,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[7].jpg,"['ºÒ°í±â¿ë ¼Ò°í±â 300g, ¾çÆÄ 1°³, Ã¢³ç°¥¸¯¼ÒÀÌ¼Ò½º 80g, ´ëÆÄ 1/2´ë, »ı°­ 2g, ¹° 50g, ÈÄÃß ¾à°£']",384.86,38.23,34.84,9.66
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1429,Ã¢³ç°¥¸¯ LA°¥ºñ ±¸ÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[5].jpg,"['LA°¥ºñ 400g, Ã¢³ç°¥¸¯¼ÒÀÌ¼Ò½º 25g, ÂÊÆÄ ¼Ò·®']",638,27,38.6,39
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1382,Åä¸¶Åä±èÄ¡,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-21_52700194[3].jpg,"['Åä¸¶Åä 1°³(235g), ¿¾³¯ ººÀ½Âü±ú ¾à°£, ¾çÆÄ 1/4°³(50g), ÂÊÆÄ 2ÁÙ±â(15g), ¿À´Ã¹ä»ó ¹Ù·Î ¹«ÃÄ¸Ô´Â °ÑÀıÀÌ¾ç³ä 1ºÀ(90g)']",141.4,29.6,3.8,1.5
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1379,¯ƒÇÜ µ·ºÎ¸®,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[5].jpg,"['¯ƒÇÜ ¿À¸®Áö³Î 1Äµ(200g), °£Àå 4T(40g), ¾çÆÄ 1°³, ¼³ÅÁ 2T(20g), °è¶õ 2°³, ¹° 100ml, ´ëÆÄ 1´ë(80g), ¿À¶Ñ±â¹ä 2°³, Ã»¾ç°íÃß 1°³(10g), °í¼ÒÇÑ Âü±â¸§ 1T, ¿¾³¯ ººÀ½Âü±ú ¾à°£']",699.4,94.1,33,22.2
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1373,°¨ÀÚ Â¥±ÛÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[3].jpg,"['¿À´Ã¹ä»ó ¼ÛÅº½Ä »ç°ñ ºÎ´ëÂî°³ ¾ç³ä 1ºÀ(110g), ¿À¶Ñ±âÇÜ 1Äµ(200g), ¹° 700ml ¾çÆÄ 1/2°³(100g), ´ëÆÄ 2´ë(80g), Ã»¾ç°íÃß 2°³(20g), °¨ÀÚ 2°³(400g), ´ÙÁø¸¶´Ã 1T(20g), °íÃßÀå 1T(20g), µÈÀå 1/3T(6g), °íÃå°¡·ç 2T(15g), È²¼³ÅÁ 1T(7g), ÀÌ±İ±â ½ÃÁî´×¸À°£Àå 2T(30g)']",405.4,14.32,18.81,16.09
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1371,Äá³ª¹°Àü,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[9].jpg,"['¹Ù»èÇÑ ºÎÄ§°¡·ç 100g, »ï°ã»ì¾çÆÄÀıÀÓ¼Ò½º 6T(50g),Äá³ª¹° 65g, ´ÙÁø¸¶´Ã 1t(6g), ´ç±Ù 1/10°³(20g), ºÎÃß 5g, ¹° 150ml, Ã»¾ç°íÃß 1°³(10g), ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯ 3T(30g), °í¼ÒÇÑ Âü±â¸§ 1T(10g), ¿¾³¯ ººÀ½Âü±ú 1/2T(1g), °íÃå°¡·ç 1t(1g), ¼Ò±İ 1/3t(1g)']",402.03,39.7,12.26,21.24
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1370,X.O.¸¸µÎÀü,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[7].jpg,"['X.O.±³ÀÚ ±èÄ¡ 4¾Ë(145g), X.O.±³ÀÚ 4¾Ë(145g), ´Ş°¿ 2°³, Ã»¾ç°íÃß 1°³(10g), °£Àå 4T(40g), È­ÀÌÆ® ½ÄÃÊ 2T, °íÃå°¡·ç 1t(1g), ¹° 2T, ´ëÆÄ 20g, ¼³ÅÁ 2T(20g), Äá±â¸§ 3T(30g), °í¼ÒÇÑ Âü±â¸§ 1t(10g)']",577.9,30.09,18.51,39.04
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1369,È¸¿À¸® ¿ÀÀÌ¹«Ä§,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[5].jpg,"['¿ÀÀÌ 1°³(260g), ²É¼Ò±İ 2/3T(5g), ´ëÆÄ 1/4´ë(20g), ¾çÆÄ 1/4°³(50g), ¿¾³¯ ººÀ½Âü±ú ¾à°£, °ÑÀıÀÌ¾ç³ä 1ºÀ(90g), °í¼ÒÇÑ Âü±â¸§ 1/2T']",163.61,28.64,4.04,4.26
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1368,¸¸»õ°­Á¤,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[3].jpg,"['¿ÀÁîÅ°Ä£ Ä¥¸®»õ¿ì 1ºÀ, ÂÌ±êÇÑ ½Ò¶±ººÀÌ¶± 110g, ¾ç³äÄ¡Å²¼Ò½º 3T(45g), X.O.¹Ì´Ï±º¸¸µÎ°í±â 150g, °ß°ú·ù ¾à°£']",637.75,80.05,18.6,26.92
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1366,¯ƒÇÜ½ºÆ½,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-09_575674873[1].jpg,"['¯ƒÇÜ ¿À¸®Áö³Î 1Äµ(200g), °è¶õ 2°³, Æ¢±è°¡·ç 60g, »§°¡·ç 60g, ÇÁ·¹½ºÄÚ ¾ĞÂø¿Ã¸®ºêÀ¯ À¯ÅÁ¿ë']",425.7,48.75,26.87,14.05
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1362,µÎºÎÂüÄ¡½ºÅ×ÀÌÅ©,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-08_361906995[1].jpg,"['°¡º­¿î ÂüÄ¡ ´õ¸¶ÀÏµå 2Äµ Âü±úµ·±î½º¼Ò½º 1Åë(290g), »§°¡·ç 150g, ¾çÆÄ 1/2°³(100g), ºê·ÎÄİ¸® 1/4°³(50g), ¿¾³¯ ººÀ½Âü±ú 1T(4g), °í¼ÒÇÑ Âü±â¸§ 1T(10g), °è¶õ 2°³, ´ÙÁø¸¶´Ã 2t(10g), ´ëÆÄ 1´ë(50g), ¼Ò±İ 2t(4g),¼øÈÄÃß 1g, ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯ 200g, µÎºÎ 3/5¸ğ(300g)']",627.35,38.23,21.34,42.59
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1361,µÎºÎ½Ã±İÄ¡¹«Ä§,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-07_148023181[1].jpg,"['Âü±úµå·¹½Ì 1.5T(23g), µÎºÎ 30g, ½Ã±İÄ¡ 4°³(100g), °£Àå 1t(2g), ¼Ò±İ ¾à°£, ¿¾³¯ ººÀ½Âü±ú ¾à°£']",58.06,3.47,2.08,4.28
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1356,ÂüÄ¡¹«Á¶¸²,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[7].jpg,"['°¡º­¿îÂüÄ¡ ¶óÀÌÆ®½ºÅÄ´Ùµå2Äµ(135gX2), ¹«1°³(1kg), ¾çÆÄ1°³(200g), Ã»¾ç°íÃß3°³(30g), ¼³ÅÁ1T(15g), ´ÙÁø¸¶´Ã2T(50g), ¹ÌÇâ2T(20g), ±¼¼Ò½º2T(30g), ´ÙÁø»ı°­1/2t(3g), °íÃå°¡·ç3T(21g), ¼øÈÄÃß¾à°£, ¹°1L, ¸êÄ¡Àå±¹4T(40g), °íÃßÀå1T(25g), ¿¾³¯ ººÀ½Âü±ú¾à°£, Çâ±ßÇÑ µé±â¸§2T']",296.18,34.56,17.98,10.56
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1349,»õµÕÁö ÀâÃ¤Àü,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[5].jpg,"['¿¾³¯ÀâÃ¤(75g)1ºÀ, °è¶õ2°³, ¿À¶Ñ±âÄ«·¹ ¾à°£¸Å¿î¸À1/3t(1g), ºÎÄ§°¡·ç50g, °í¼ÒÇÑ Âü±â¸§1T, ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯2T']",769.4,83.26,24.94,36.86
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1338,ÈæÃÊ¸¸µÎÅÁ¼ö,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[17].jpg,"['X.O¹Ì´Ï ±º¸¸µÎ °í±â1/2ºÀ(230g), 8³â¼÷¼ºÈæÃÊ2T(20g), ÀÌ±İ±âÁßÈ­½ÃÁî´×¸À°£Àå1T(10g), ÄÚÄÚ³ÓÈÄ·¹ÀÌÅ©1/2T(5g), °í±¸¸¶1°³(100g), ÆÄÀÎ¾ÖÇÃ1½½¶óÀÌ½º(70g), ¼³ÅÁ1T(10g), ÀüºĞ¹°(ÀüºĞ:¹°=1:2)2T(20g), ¹°2T(20g)']",482.45,51.45,11.87,25.92
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1333,Ä«·¹°í±¸¸¶Àü,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[7].jpg,"['¿À¸®Áö³ÎÄ«·¹ÆÄ¿ì´õ5g, ºÎÄ§°¡·ç65g, Äá±â¸§À¯ÅÁ¿ë, °í±¸¸¶1°³(130g), ÆÄ½½¸®°¡·ç1g, ¹°95ml, ¼Ò±İ1g']",426.07,95.56,7.95,1.47
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1321,Äá³ª¹°ºÒ°í±â,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[19].jpg,"['¿À´Ã¹ä»ó Á¦À°ººÀ½¾ç³ä 1ÆÑ(150g), µÅÁö°í±â ¾Õ´Ù¸®»ì 300g, Äá³ª¹° 150g, ÆÄÃ¤ 50g, ¿¾³¯ ººÀ½Âü±ú 1T(5g), Âü±â¸§\t2T(20g)']",600.53,36.01,30.9,5.64
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1316,¿ÀÂ¡¾î º½µ¿¹«Ä§,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[9].jpg,"['¿ÀÂ¡¾î 2¸¶¸®(340g), ¹Ì³ª¸® 15ÁÙ±â(30g), º½µ¿ 1°³(130g), ¹Ù·Î ¹«ÃÄ¸Ô´Â °ÑÀıÀÌ¾ç³ä 1ºÀ(90g), ´Ù½Ã¸¶½ÄÃÊ 2T(20g), ¾çÆÄ 1/4°³(50g), ´ç±Ù 1/5°³(30g), ¼Ò±İ 1t(2g), ¹ÌÇâ ¹ßÈ¿¸À¼ú 2T(20g), ¿¾³¯ Âü±â¸§ 1T(10g)']",115.08,16.6,4.66,3.54
